gameId|platformId|lastUpdate
1757|7|E'2020-11-29 19:18:57'
1757|3|E'2020-11-29 19:18:57'
1758|2|E'2020-11-29 19:18:57'
1758|4|E'2020-11-29 19:18:57'
1758|5|E'2020-11-29 19:18:57'
1758|7|E'2020-11-29 19:18:57'
1758|6|E'2020-11-29 19:18:57'
1759|7|E'2020-11-29 19:18:57'
1760|4|E'2020-11-29 19:18:57'
1760|5|E'2020-11-29 19:18:57'
1760|7|E'2020-11-29 19:18:57'
1760|3|E'2020-11-29 19:18:57'
1760|6|E'2020-11-29 19:18:57'
1761|7|E'2020-11-29 19:18:57'
1762|5|E'2020-11-29 19:18:57'
1762|7|E'2020-11-29 19:18:57'
1762|3|E'2020-11-29 19:18:57'
1762|6|E'2020-11-29 19:18:57'
1763|8|E'2020-11-29 19:18:57'
1763|7|E'2020-11-29 19:18:57'
1763|3|E'2020-11-29 19:18:57'
1763|9|E'2020-11-29 19:18:57'
1763|6|E'2020-11-29 19:18:57'
1764|12|E'2020-11-29 19:18:57'
1764|7|E'2020-11-29 19:18:57'
1764|3|E'2020-11-29 19:18:57'
1765|7|E'2020-11-29 19:18:57'
1766|7|E'2020-11-29 19:18:57'
1767|7|E'2020-11-29 19:18:57'
1768|7|E'2020-11-29 19:18:57'
1769|5|E'2020-11-29 19:18:57'
1769|7|E'2020-11-29 19:18:57'
1769|3|E'2020-11-29 19:18:57'
1769|6|E'2020-11-29 19:18:57'
1770|2|E'2020-11-29 19:18:57'
1770|1|E'2020-11-29 19:18:57'
1770|4|E'2020-11-29 19:18:57'
1770|7|E'2020-11-29 19:18:57'
1770|3|E'2020-11-29 19:18:57'
1770|9|E'2020-11-29 19:18:57'
1771|5|E'2020-11-29 19:18:57'
1771|7|E'2020-11-29 19:18:57'
1771|3|E'2020-11-29 19:18:57'
1771|6|E'2020-11-29 19:18:57'
1772|7|E'2020-11-29 19:18:57'
1772|3|E'2020-11-29 19:18:57'
1773|11|E'2020-11-29 19:18:57'
1773|5|E'2020-11-29 19:18:57'
1773|7|E'2020-11-29 19:18:57'
1773|3|E'2020-11-29 19:18:57'
1774|5|E'2020-11-29 19:18:57'
1774|7|E'2020-11-29 19:18:57'
1775|5|E'2020-11-29 19:18:57'
1775|7|E'2020-11-29 19:18:57'
1775|3|E'2020-11-29 19:18:57'
1775|6|E'2020-11-29 19:18:57'
1776|11|E'2020-11-29 19:18:57'
1776|7|E'2020-11-29 19:18:57'
1777|4|E'2020-11-29 19:18:57'
1777|7|E'2020-11-29 19:18:57'
1777|3|E'2020-11-29 19:18:57'
1778|5|E'2020-11-29 19:18:57'
1778|7|E'2020-11-29 19:18:57'
1778|3|E'2020-11-29 19:18:57'
1778|6|E'2020-11-29 19:18:57'
1779|5|E'2020-11-29 19:18:57'
1779|7|E'2020-11-29 19:18:57'
1779|3|E'2020-11-29 19:18:57'
1779|6|E'2020-11-29 19:18:57'
1780|7|E'2020-11-29 19:18:57'
1781|5|E'2020-11-29 19:18:57'
1781|7|E'2020-11-29 19:18:57'
1781|3|E'2020-11-29 19:18:57'
1782|7|E'2020-11-29 19:18:57'
1783|5|E'2020-11-29 19:18:57'
1783|7|E'2020-11-29 19:18:57'
1783|3|E'2020-11-29 19:18:57'
1783|6|E'2020-11-29 19:18:57'
1784|7|E'2020-11-29 19:18:57'
1785|7|E'2020-11-29 19:18:57'
1786|7|E'2020-11-29 19:18:57'
1786|3|E'2020-11-29 19:18:57'
1787|5|E'2020-11-29 19:18:57'
1787|7|E'2020-11-29 19:18:57'
1787|3|E'2020-11-29 19:18:57'
1787|6|E'2020-11-29 19:18:57'
1788|7|E'2020-11-29 19:18:57'
1789|5|E'2020-11-29 19:18:57'
1789|7|E'2020-11-29 19:18:57'
1789|3|E'2020-11-29 19:18:57'
1789|6|E'2020-11-29 19:18:57'
1790|5|E'2020-11-29 19:18:57'
1790|7|E'2020-11-29 19:18:57'
1790|6|E'2020-11-29 19:18:57'
1791|10|E'2020-11-29 19:18:57'
1791|7|E'2020-11-29 19:18:57'
1791|3|E'2020-11-29 19:18:57'
1792|5|E'2020-11-29 19:18:57'
1792|7|E'2020-11-29 19:18:57'
1792|6|E'2020-11-29 19:18:57'
1793|7|E'2020-11-29 19:18:57'
1793|3|E'2020-11-29 19:18:57'
1794|7|E'2020-11-29 19:18:57'
1795|5|E'2020-11-29 19:18:57'
1795|7|E'2020-11-29 19:18:57'
